employee_id,home_area,home_lat,home_lon,has_car,environmental_attitude,distance_to_workplace_km,nearest_station,station_mode,dist_to_station_km,connection_quality,walk_to_station_min,wait_min,ride_min,door_to_door_min,commute_band,adoption_score,adoption_tier
EMP0001,Quickborn,53.74049636606017,9.909642123781042,False,61.0,10.8,Quickborn (AKN),Rail,0.49,Good,6.5,5.7,25.5,47.7,46–60 min,58.9,Medium
EMP0002,Eppendorf/Winterhude,53.598241878428134,9.995970860152044,False,36.0,10.4,Kellinghusenstraße,Rail,1.42,Medium,18.9,8.0,28.2,65.1,>60 min,39.8,Low
EMP0003,Henstedt-Ulzburg / Kaltenkirchen,53.812762741793286,9.954175728026117,True,48.0,15.3,Kaltenkirchen (AKN),Rail,2.91,Poor,26.7,8.9,42.8,88.4,>60 min,22.2,Low
EMP0004,Hamburg-Innenstadt,53.536972341161075,9.992189481223932,False,18.0,17.0,Jungfernstieg,Rail,1.76,Medium,23.5,0.3,36.7,70.5,>60 min,36.2,Low
EMP0005,Norderstedt,53.67439896563367,10.003639017433475,True,3.0,3.2,Ochsenzoll,Rail,1.11,Medium,14.8,7.7,8.6,41.1,31–45 min,29.7,Low
EMP0006,Pinneberg,53.6631435358539,9.783596844610768,True,69.0,17.5,Pinneberg,Rail,0.83,Good,11.1,5.2,40.2,66.5,>60 min,44.5,Medium
EMP0007,Quickborn,53.73138223966362,9.914312218145476,False,30.0,10.1,Quickborn (AKN),Rail,0.62,Good,8.3,6.3,25.5,50.1,46–60 min,47.5,Medium
EMP0008,Quickborn,53.74069385771717,9.913112646599332,True,41.0,10.7,Quickborn (AKN),Rail,0.57,Good,7.6,1.5,25.5,44.6,31–45 min,44.9,Medium
EMP0009,Norderstedt,53.70451953626221,9.99323292488632,True,22.0,4.1,Norderstedt Mitte,Rail,1.41,Medium,18.8,11.7,6.4,46.9,46–60 min,32.4,Low
EMP0010,Eppendorf/Winterhude,53.59438241432059,9.996773153625048,False,22.0,10.8,Kellinghusenstraße,Rail,1.1,Medium,14.7,14.1,28.2,67.0,>60 min,34.7,Low
EMP0011,Alsterdorf/Ohlsdorf,53.62260133085376,10.021957013859,True,47.0,7.3,Ohlsdorf,Rail,1.12,Medium,14.9,0.3,15.5,40.7,31–45 min,46.5,Medium
EMP0012,Ahrensburg,53.67649211374115,10.248392237388963,False,35.0,13.3,Ahrensburg,Rail,0.74,Good,9.9,9.0,30.3,59.2,46–60 min,45.7,Medium
